relative_path,directory,filename,stem,family,name_prefix,virtual_layer_id,size_bytes,zip_status,entry_count,entry_file_count,entry_dir_count,entry_uncompressed_bytes,entry_extension_counts,has_tiff,has_wms_xml,metadata_entry_count,has_category_metadata,has_value_metadata
virtual_layers/virtualspecies.beakedspikerusheleocharisrostellata.932.zip,virtual_layers,virtualspecies.beakedspikerusheleocharisrostellata.932.zip,virtualspecies.beakedspikerusheleocharisrostellata.932,virtual_layer,virtualspecies.beakedspikerusheleocharisrostellata.932,932,1216475,ok,2,2,0,542226746,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.beardedowlclovertriphysariaversicolorsspversicolor.204.zip,virtual_layers,virtualspecies.beardedowlclovertriphysariaversicolorsspversicolor.204.zip,virtualspecies.beardedowlclovertriphysariaversicolorsspversicolor.204,virtual_layer,virtualspecies.beardedowlclovertriphysariaversicolorsspversicolor.204,204,1116788,ok,2,2,0,542224374,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.beardedsedgecarexcomosa.789.zip,virtual_layers,virtualspecies.beardedsedgecarexcomosa.789.zip,virtualspecies.beardedsedgecarexcomosa.789,virtual_layer,virtualspecies.beardedsedgecarexcomosa.789,789,1213293,ok,2,2,0,542226119,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.beardlesswildryeelymuscurvatus.80.zip,virtual_layers,virtualspecies.beardlesswildryeelymuscurvatus.80.zip,virtualspecies.beardlesswildryeelymuscurvatus.80,virtual_layer,virtualspecies.beardlesswildryeelymuscurvatus.80,80,1115770,ok,2,2,0,542224162,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.beaverpondbaskettailepithecacanis.945.zip,virtual_layers,virtualspecies.beaverpondbaskettailepithecacanis.945.zip,virtualspecies.beaverpondbaskettailepithecacanis.945,virtual_layer,virtualspecies.beaverpondbaskettailepithecacanis.945,945,1169695,ok,2,2,0,542226443,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.behrshairstreaksatyriumbehrii.984.zip,virtual_layers,virtualspecies.behrshairstreaksatyriumbehrii.984.zip,virtualspecies.behrshairstreaksatyriumbehrii.984,virtual_layer,virtualspecies.behrshairstreaksatyriumbehrii.984,984,1116153,ok,2,2,0,542225878,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.beltedkingfishermegacerylealcyon.542.zip,virtual_layers,virtualspecies.beltedkingfishermegacerylealcyon.542.zip,virtualspecies.beltedkingfishermegacerylealcyon.542,virtual_layer,virtualspecies.beltedkingfishermegacerylealcyon.542,542,2511802,ok,2,2,0,542226161,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bentfloweredmilkvetchastragalusvexilliflexusvarvexilliflexus.601.zip,virtual_layers,virtualspecies.bentfloweredmilkvetchastragalusvexilliflexusvarvexilliflexus.601.zip,virtualspecies.bentfloweredmilkvetchastragalusvexilliflexusvarvexilliflexus.601,virtual_layer,virtualspecies.bentfloweredmilkvetchastragalusvexilliflexusvarvexilliflexus.601,601,1278498,ok,2,2,0,542225978,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bentspikerusheleocharisgeniculata.238.zip,virtual_layers,virtualspecies.bentspikerusheleocharisgeniculata.238.zip,virtualspecies.bentspikerusheleocharisgeniculata.238,virtual_layer,virtualspecies.bentspikerusheleocharisgeniculata.238,238,1117155,ok,2,2,0,542224451,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bewickswrenthryomanesbewickii.441.zip,virtual_layers,virtualspecies.bewickswrenthryomanesbewickii.441.zip,virtualspecies.bewickswrenthryomanesbewickii.441,virtual_layer,virtualspecies.bewickswrenthryomanesbewickii.441,441,1187837,ok,2,2,0,542227606,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bigbrownbateptesicusfuscus.319.zip,virtual_layers,virtualspecies.bigbrownbateptesicusfuscus.319.zip,virtualspecies.bigbrownbateptesicusfuscus.319,virtual_layer,virtualspecies.bigbrownbateptesicusfuscus.319,319,1780874,ok,2,2,0,542234050,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bighornsheepoviscanadensis.35.zip,virtual_layers,virtualspecies.bighornsheepoviscanadensis.35.zip,virtualspecies.bighornsheepoviscanadensis.35,virtual_layer,virtualspecies.bighornsheepoviscanadensis.35,35,1332546,ok,2,2,0,542233905,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
